"NRO_PROY","LIDER_PROY","COORD_CART_PROY","COD_LOC","COD_MOD","DET_COD_MOD","NOMB_IE","REGION","DEPARTAMENTO","PROVINCIA","DISTRITO","UBIGEO","UGEL","CUI","NOMB_PROY","COOR_WGS_ESTE","COOR_WGS_OESTE","FECHA_VIAB","COS_INV_PRE","PIM_2022","LATITUD","LONGITUD","CARTERA","NRO_PAQ","PAQUETE","BENEF_PRE","CAT_IE","CANT_AULA","SFL","FECHA_CORTE"
"1","MIGUEL ROMERO","FRANZ SALAZAR","324580","541110","Primaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2455343","","282093","8673346","20190719","21,373,994","18,448,066","-11.99375366","-77.00131403","CARTERA III","Paquete 2","LIMA 02","1247","COSTA","30","PROPIEDAD","20220520"
"1","MIGUEL ROMERO","FRANZ SALAZAR","324580","665273","	Secundaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2455343","","282093","8673346","20190719","21,373,994","18,448,066","-11.99375366","-77.00131403","CARTERA III","Paquete 2","LIMA 02","1247","COSTA","30","PROPIEDAD","20220520"
"2","ERIKA IZQUIERDO","JULIO PRADO","311224","521179","	Secundaria","I.E. JORGE BASADRE GROHMANN","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2455491","","274956","8674518","20190723","15,855,902","13,292,940","-11.98268569","-77.06675207","CARTERA I","Paquete 0","PILOTO","912","COSTA","15","PROPIEDAD","20220520"
"2","ERIKA IZQUIERDO","JULIO PRADO","311224","1759737","","I.E. JORGE BASADRE GROHMANN","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2455491","","274956","8674518","20190723","15,855,902","13,292,940","-11.98268569","-77.06675207","CARTERA I","Paquete 0","PILOTO","912","COSTA","15","PROPIEDAD","20220520"
"2","ERIKA IZQUIERDO","JULIO PRADO","311224","1359785","","I.E. JORGE BASADRE GROHMANN","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2455491","","274956","8674518","20190723","15,855,902","13,292,940","-11.98268569","-77.06675207","CARTERA I","Paquete 0","PILOTO","912","COSTA","15","PROPIEDAD","20220520"
"3","ALBERTO BONILLA","GINO ZEVALLOS","296681","525253","Primaria","","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2456100","","281186","8686175","20190731","19,460,248","12,615,859","-11.87774764","-77.00878626","CARTERA II","Paquete 5","LIMA 05","1104","COSTA","23","AFECTADO EN USO","20220520"
"4","JUAN PAZ","JULIO PRADO","343748","1656073","","","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2456389","","288125","8649717","20190806","48,891,690","52,912,542","-12.20770462","-76.94748359","CARTERA I","Paquete 5","LIMA 05","2080","COSTA","38","PROPIEDAD","20220520"
"4","JUAN PAZ","JULIO PRADO","343748","607119","Primaria","","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2456389","","288125","8649717","20190806","48,891,690","52,912,542","-12.20770462","-76.94748359","CARTERA I","Paquete 5","LIMA 05","2080","COSTA","38","PROPIEDAD","20220520"
"4","JUAN PAZ","JULIO PRADO","343748","643148","	Secundaria","","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2456389","","288125","8649717","20190806","48,891,690","52,912,542","-12.20770462","-76.94748359","CARTERA I","Paquete 5","LIMA 05","2080","COSTA","38","PROPIEDAD","20220520"
"5","JUAN CARLOS FAJARDO","GINO ZEVALLOS","301753","434605","Primaria","","LIMA","LIMA","LIMA","COMAS","150110","UGEL 04","2457231","","277749","8679400","20190808","27,398,311","24,028,378","-11.93875188","-77.04078231","CARTERA II","Paquete 1","LIMA NORTE 01","918","COSTA","34","AFECTADO EN USO","20220520"
"5","JUAN CARLOS FAJARDO","GINO ZEVALLOS","301753","582114","	Secundaria","","LIMA","LIMA","LIMA","COMAS","150110","UGEL 04","2457231","","277749","8679400","20190808","27,398,311","24,028,378","-11.93875188","-77.04078231","CARTERA II","Paquete 1","LIMA NORTE 01","918","COSTA","34","AFECTADO EN USO","20220520"
"5","JUAN CARLOS FAJARDO","GINO ZEVALLOS","301753","1697978","	Secundaria","","LIMA","LIMA","LIMA","COMAS","150110","UGEL 04","2457231","","277749","8679400","20190808","27,398,311","24,028,378","-11.93875188","-77.04078231","CARTERA II","Paquete 1","LIMA NORTE 01","918","COSTA","34","AFECTADO EN USO","20220520"
"6","SHUGUEY GUIZADO","FRANZ SALAZAR","291792","1044999","Primaria","","LIMA","LIMA","LIMA","ATE","150103","UGEL 06 ","2457878","","301619","8669743","20190823","34,053,030","27,767,498","-12.02754453","-76.8222678","CARTERA III","Paquete 3","LIMA 03","1199","COSTA","32","AFECTADO EN USO","20220520"
"6","SHUGUEY GUIZADO","FRANZ SALAZAR","291792","1254192","	Secundaria","","LIMA","LIMA","LIMA","ATE","150103","UGEL 06 ","2457878","","301619","8669743","20190823","34,053,030","27,767,498","-12.02754453","-76.8222678","CARTERA III","Paquete 3","LIMA 03","1199","COSTA","32","AFECTADO EN USO","20220520"
"7","EDER REYES","JULIO PRADO","333099","436345","Primaria","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2459062","","270643","8675709","20190823","25,549,084","22,008,820","-11.97162749","-77.10625968","CARTERA I","Paquete 1","LIMA NORTE 01","1588","COSTA","31","AFECTADO EN USO","20220520"
"7","EDER REYES","JULIO PRADO","333099","663138","	Secundaria","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2459062","","270643","8675709","20190823","25,549,084","22,008,820","-11.97162749","-77.10625968","CARTERA I","Paquete 1","LIMA NORTE 01","1588","COSTA","31","AFECTADO EN USO","20220520"
"8","PEDRO COTRINA","JULIO PRADO","329974","520486","	Secundaria","I.E. JAVIER HERAUD","LIMA","LIMA","LIMA","SAN JUAN DE MIRAFLORES","150133","UGEL 01","2459714","","285339","8654822","20190831","35,569,631","19,660,360","-12.16138404","-76.97274001","CARTERA I","Paquete 4","LIMA 04","2485","COSTA","47","PROPIEDAD","20220520"
"8","PEDRO COTRINA","JULIO PRADO","329974","1359652","","I.E. JAVIER HERAUD","LIMA","LIMA","LIMA","SAN JUAN DE MIRAFLORES","150133","UGEL 01","2459714","","285339","8654822","20190831","35,569,631","19,660,360","-12.16138404","-76.97274001","CARTERA I","Paquete 4","LIMA 04","2485","COSTA","47","PROPIEDAD","20220520"
"9","ORLANDO MALAVER","JULIO PRADO","343772","1440965","","IE 6064 FRANCISCO BOLOGNESI","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2460031","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA IE 6064 FRANCISCO BOLOGNESI, DISTRITO DE VILLA EL SALVADOR - PROVINCIA DE LIMA -
DEPARTAMENTO DE LIMA","289364","8649436","20190912","38,737,595","22,446,221","-12.21032459","-76.93611815","CARTERA I","Paquete 5","LIMA 05","2032","COSTA","55","AFECTADO EN USO","20220520"
"9","ORLANDO MALAVER","JULIO PRADO","343772","328401","Primaria","IE 6064 FRANCISCO BOLOGNESI","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2460031","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL INICIAL, PRIMARIA Y SECUNDARIA DE LA IE 6064 FRANCISCO BOLOGNESI, DISTRITO DE VILLA EL SALVADOR - PROVINCIA DE LIMA -
DEPARTAMENTO DE LIMA","289364","8649436","20190912","38,737,595","22,446,221","-12.21032459","-76.93611815","CARTERA I","Paquete 5","LIMA 05","2032","COSTA","55","AFECTADO EN USO","20220520"
